step,rg2,perim,cycles,asph,movfrac
1100000,519131.146985,119573,7307,0.374697,0.2656
1200000,462692.046598,119499,7285,0.175896,0.2109
1300000,709486.716654,119469,7271,0.667921,0.3359
1400000,575878.499188,119381,7304,0.459511,0.2969
1500000,485040.254268,119547,7313,0.364271,0.2812
1600000,545025.121969,119465,7301,0.333339,0.3047
1700000,592571.074632,119351,7334,0.301987,0.2969
1800000,421150.933187,119381,7316,0.287324,0.2969
1900000,510831.220019,119309,7312,0.608478,0.2969
2000000,515720.142840,119379,7384,0.452076,0.3438
2100000,482185.366328,119418,7363,0.557039,0.3125
2200000,465213.897398,119382,7304,0.298813,0.2656
2300000,470470.179523,119228,7370,0.286335,0.3125
2400000,371559.402761,119271,7398,0.222377,0.3516
2500000,383957.993893,119147,7497,0.212921,0.2656
2600000,309924.099206,119258,7311,0.027388,0.3516
2700000,343567.070666,119165,7379,0.248941,0.2422
2800000,405759.220297,119120,7395,0.291254,0.2422
2900000,347892.118015,119250,7356,0.132196,0.2734
3000000,502086.036048,119134,7329,0.534975,0.2812
3100000,484046.228969,119106,7434,0.427823,0.2969
3200000,490724.710684,119184,7403,0.471567,0.3359
3300000,660651.422698,119227,7304,0.603749,0.3984
3400000,620499.289827,119225,7352,0.753700,0.3672
3500000,376711.761949,119097,7436,0.051546,0.2812
3600000,661570.602805,118981,7471,0.622969,0.2578
3700000,604734.556130,119035,7401,0.626271,0.3125
3800000,549792.074750,119324,7160,0.451052,0.2812
3900000,526800.011086,119243,7170,0.318656,0.2734
4000000,459523.573840,119179,7331,0.175099,0.3047
4100000,563292.457373,119358,7303,0.376396,0.2734
4200000,474115.066968,119200,7490,0.512129,0.3047
4300000,455673.625840,119168,7542,0.494769,0.2812
4400000,477809.435218,119225,7450,0.399127,0.3125
4500000,492504.667453,119414,7336,0.369904,0.3359
4600000,491013.383819,119567,7260,0.486958,0.2344
4700000,522435.413268,119679,7088,0.389853,0.2656
4800000,463126.120930,119685,7198,0.498709,0.3125
4900000,444511.056721,119659,7293,0.352434,0.3125
5000000,570384.179702,119455,7184,0.599599,0.2422
5100000,571101.499882,119467,7219,0.290997,0.2656
5200000,659194.949846,119380,7212,0.390634,0.2812
5300000,679079.601619,119429,7261,0.687985,0.3516
5400000,780843.793100,119333,7319,0.622157,0.2812
5500000,693012.740401,119224,7315,0.541408,0.3047
5600000,623942.508021,119313,7377,0.079877,0.2969
5700000,771872.042099,119499,7209,0.408298,0.2422
5800000,669814.222876,119497,7186,0.591661,0.2891
5900000,748941.474676,119494,7232,0.539050,0.2969
6000000,520261.981938,119352,7177,0.115947,0.3359
6100000,467937.473656,119312,7232,0.061547,0.2812
6200000,554472.810534,119379,7339,0.078638,0.2656
6300000,710612.871451,119410,7291,0.634854,0.2734
6400000,671780.896663,119476,7288,0.765336,0.3359
6500000,469416.719806,119510,7354,0.307296,0.2969
6600000,456546.175386,119475,7279,0.320665,0.2422
6700000,487217.435269,119519,7294,0.402296,0.3047
6800000,497617.107317,119464,7329,0.103992,0.3125
6900000,390932.400134,119366,7403,0.433288,0.2500
7000000,386186.147150,119347,7516,0.034537,0.2500
7100000,400711.960028,119450,7348,0.015114,0.2578
7200000,514480.959819,119281,7280,0.513666,0.2969
7300000,385785.525804,119310,7303,0.081338,0.2891
7400000,385449.780593,119570,7226,0.006601,0.3125
7500000,398884.511350,119666,7221,0.120183,0.2891
7600000,391804.437610,119860,7089,0.076872,0.2656
7700000,447302.373660,119651,7208,0.088518,0.2422
7800000,492359.067092,119675,7149,0.596843,0.3906
7900000,440926.679698,119641,7205,0.334419,0.2109
8000000,562676.180711,119614,7403,0.644600,0.2578
8100000,616248.501965,119648,7353,0.614170,0.3047
8200000,616275.854882,119781,7349,0.618169,0.2812
8300000,529937.113673,119834,7252,0.447352,0.3281
8400000,681959.778192,119572,7333,0.580476,0.3906
8500000,577490.106936,119512,7295,0.463002,0.4141
8600000,559273.958568,119327,7314,0.585930,0.2656
8700000,372802.715361,119432,7244,0.332880,0.3359
8800000,448438.351131,119460,7343,0.355963,0.2969
8900000,405723.172519,119281,7387,0.114969,0.2969
9000000,381641.196714,119420,7400,0.020128,0.2500
9100000,432574.353708,119432,7274,0.043548,0.2500
9200000,345015.227411,119468,7279,0.000126,0.2969
9300000,385869.423640,119629,7212,0.030589,0.2500
9400000,555746.340655,119357,7382,0.416031,0.3359
9500000,481171.936173,119234,7506,0.292249,0.3906
9600000,616014.330060,119298,7438,0.254816,0.2188
