step,rg2,perim,cycles,asph,movfrac
2000,4610.486306,3632,210,0.496785,0.2500
4000,4373.582069,3661,207,0.426822,0.3906
6000,3628.062659,3678,184,0.314348,0.3047
8000,3654.374698,3641,199,0.311136,0.2656
10000,3765.507511,3650,191,0.315706,0.2891
12000,4758.714982,3643,191,0.475136,0.2891
14000,4828.856176,3639,203,0.461013,0.3047
16000,5675.506380,3664,189,0.602309,0.2500
18000,5673.202653,3660,178,0.534253,0.3516
20000,5699.207843,3677,174,0.534146,0.2188
22000,5994.695228,3648,194,0.583228,0.2500
24000,3882.040504,3651,210,0.160168,0.3438
26000,3139.692694,3630,209,0.066008,0.2656
28000,3152.809801,3621,213,0.067900,0.3203
30000,3479.597086,3617,206,0.139278,0.2109
32000,3449.046410,3637,204,0.137166,0.2266
34000,3423.731226,3644,181,0.129736,0.3125
36000,3403.944004,3644,180,0.131140,0.2500
38000,3384.523960,3652,183,0.123574,0.2969
40000,3391.269088,3639,196,0.125098,0.3516
42000,3266.077822,3623,190,0.096700,0.2188
44000,3364.404818,3631,185,0.143767,0.3047
46000,3350.175314,3655,196,0.140967,0.2891
48000,3435.032298,3661,185,0.167579,0.2500
50000,3422.108548,3642,195,0.148799,0.2891
52000,3369.507566,3620,196,0.139419,0.3438
54000,3380.092764,3609,204,0.133860,0.2656
56000,3434.122374,3629,202,0.155459,0.3359
58000,3418.424246,3625,220,0.095835,0.3125
60000,3514.881124,3651,216,0.121901,0.2578
62000,3573.586515,3649,204,0.193999,0.2578
64000,5644.826146,3641,183,0.516263,0.2656
66000,4327.712913,3634,186,0.354016,0.2578
68000,4685.334383,3632,196,0.289860,0.2500
70000,4651.716216,3610,210,0.269499,0.3125
72000,4234.564153,3606,206,0.333216,0.2656
74000,4220.871063,3598,214,0.329848,0.2344
76000,4226.915199,3614,223,0.332337,0.2656
78000,4509.082212,3649,209,0.230175,0.2969
80000,5310.146764,3643,204,0.349458,0.3750
82000,5329.181244,3631,210,0.352568,0.3516
84000,5323.448355,3635,210,0.355069,0.2812
86000,5376.486232,3635,202,0.331236,0.3047
88000,5485.018946,3613,210,0.403272,0.3203
90000,3714.939745,3578,229,0.039841,0.2500
92000,3863.108745,3595,211,0.306692,0.3359
94000,3804.024684,3616,214,0.266635,0.3047
96000,3712.038878,3589,207,0.247233,0.2500
98000,3550.060524,3587,208,0.262170,0.3594
100000,3160.383149,3621,188,0.200594,0.3047
102000,3575.548770,3623,183,0.328490,0.2891
104000,3587.263062,3643,195,0.323238,0.3594
