step,rg2,perim,cycles,asph
50000,2133338.880714,119492,7182,0.981635
100000,2136966.584376,119479,7233,0.981722
150000,2138559.488345,119615,7254,0.981717
200000,2128696.594140,119571,7220,0.981523
250000,2124062.826582,119681,7232,0.981476
300000,2122345.470015,119686,7344,0.981420
350000,2122929.570890,119485,7360,0.981443
400000,1996853.754511,119509,7367,0.974403
450000,2003240.159061,119526,7360,0.974419
500000,2007519.157943,119412,7385,0.974343
550000,1990096.094847,119378,7390,0.973348
600000,1988724.206593,119282,7467,0.973318
650000,849106.788003,119457,7350,0.337571
700000,844902.255246,119464,7429,0.334409
750000,842969.530005,119587,7352,0.331622
800000,840682.269053,119380,7361,0.326795
850000,627184.222469,119496,7238,0.175228
900000,626542.640768,119162,7359,0.182569
950000,627524.431153,119274,7314,0.182577
1000000,615600.072648,119181,7445,0.207277
1050000,615411.449317,119402,7286,0.206566
1100000,614889.183330,119506,7276,0.205637
1150000,613618.223768,119455,7212,0.199554
1200000,676267.354365,119445,7264,0.238274
1250000,675456.965259,119434,7213,0.236556
1300000,673688.379368,119392,7213,0.235580
1350000,673812.124593,119384,7214,0.238328
1400000,674615.334963,119341,7366,0.238885
1450000,673544.386435,119273,7374,0.238676
1500000,511181.894600,119162,7453,0.040798
1550000,514650.696947,119362,7297,0.037718
1600000,516436.848427,119253,7433,0.035544
1650000,516341.398407,119301,7394,0.035431
1700000,510968.226545,119237,7238,0.039793
1750000,511370.939912,119298,7301,0.040053
1800000,511107.026558,119381,7277,0.040161
1850000,506918.919694,119165,7410,0.037661
1900000,505957.963670,119312,7419,0.037882
1950000,505486.072497,119293,7384,0.038406
2000000,505970.253615,119365,7326,0.038372
2050000,504021.529367,119195,7253,0.038932
2100000,505595.648687,119367,7315,0.038773
2150000,504762.739088,119315,7337,0.037812
2200000,504540.524301,119277,7228,0.036789
2250000,503664.142605,119306,7355,0.036896
2300000,506198.205254,119348,7415,0.038202
2350000,521834.969094,119338,7344,0.381014
2400000,510305.960951,119453,7303,0.371386
2450000,512949.031340,119714,7183,0.374081
2500000,512899.657648,119491,7287,0.373684
2550000,514702.086540,119553,7167,0.373858
2600000,515428.529441,119529,7167,0.378929
2650000,576395.314746,119310,7313,0.461117
2700000,576139.138571,119348,7327,0.460971
2750000,576446.124156,119655,7164,0.462186
2800000,577142.828483,119653,7203,0.459747
2850000,576714.243761,119688,7179,0.461199
2900000,576963.980103,119642,7192,0.461989
2950000,577605.388064,119672,7161,0.461091
3000000,593095.101284,119385,7292,0.544546
3050000,592903.990023,119401,7298,0.544981
3100000,671301.347124,119276,7381,0.611407
3150000,669822.144006,119390,7198,0.607174
