step,rg2,perim,cycles,asph
50000,310469.978065,119737,7188,0.267537
100000,310296.747064,119706,7168,0.206389
150000,326662.074957,119693,7220,0.221060
200000,348255.424803,119661,7134,0.320326
250000,338745.087936,119677,7271,0.310130
300000,331918.118324,119720,7199,0.296463
350000,371765.937099,119604,7284,0.335851
400000,368552.953323,119538,7277,0.278971
450000,384561.774652,119529,7348,0.301696
500000,467340.865713,119639,7321,0.605234
550000,385764.664060,119570,7323,0.385634
600000,378415.243662,119503,7304,0.332494
650000,363062.369555,119512,7383,0.276737
700000,376852.521921,119530,7261,0.300544
750000,403871.130140,119596,7185,0.382482
800000,451524.937889,119734,7156,0.561543
850000,471598.299913,119684,7148,0.509412
900000,403173.289150,119718,7255,0.478063
950000,465550.601240,119669,7303,0.329047
1000000,449137.014869,119577,7252,0.318530
1050000,454984.051893,119481,7291,0.456402
1100000,398717.919936,119359,7311,0.262088
1150000,442399.076133,119378,7413,0.215756
1200000,388139.573153,119289,7426,0.227723
1250000,420082.386370,119492,7339,0.345346
1300000,410398.117772,119530,7323,0.323940
1350000,411578.326862,119480,7410,0.154736
1400000,384440.130875,119444,7347,0.275415
1450000,344089.028838,119548,7304,0.143127
1500000,365656.243162,119632,7309,0.146296
1550000,317362.646894,119550,7354,0.120658
1600000,427677.468979,119742,7254,0.365563
1650000,366950.205003,119585,7348,0.121650
1700000,344451.055885,119627,7328,0.157723
1750000,386739.666944,119725,7298,0.218869
1800000,387305.960500,119734,7223,0.219818
1850000,403017.017325,119813,7202,0.168263
1900000,387330.746872,119726,7175,0.183775
1950000,357665.057657,119717,7301,0.055994
2000000,336007.027646,119665,7304,0.046878
2050000,407413.672500,119701,7283,0.249028
2100000,434631.892870,119779,7232,0.282801
2150000,459227.604774,119699,7289,0.350098
2200000,438650.411436,119749,7247,0.232765
2250000,389296.977308,119705,7273,0.085589
2300000,436976.264211,119835,7241,0.342113
2350000,452376.922318,119908,7324,0.540786
2400000,457108.842116,119823,7269,0.342544
2450000,469938.711688,119825,7319,0.375866
2500000,474905.047172,119967,7253,0.645728
2550000,495784.565587,119836,7276,0.678338
2600000,477202.408376,119716,7306,0.503867
2650000,344182.234005,119808,7196,0.095108
2700000,459916.051536,119787,7316,0.285568
2750000,438529.540753,119610,7295,0.438158
2800000,360101.533107,119671,7230,0.251814
2850000,304189.845721,119615,7224,0.158764
2900000,441169.647673,119721,7179,0.028935
2950000,508729.322094,119671,7229,0.101851
3000000,554877.101666,119655,7280,0.619545
3050000,474002.950566,119601,7296,0.522927
3100000,455737.637173,119549,7267,0.310843
3150000,474867.235268,119465,7317,0.490463
3200000,408379.773764,119401,7418,0.128163
3250000,347559.384186,119649,7300,0.010919
3300000,456250.488190,119732,7197,0.190069
3350000,391814.300202,119728,7118,0.027922
3400000,424585.067062,119791,7071,0.081107
3450000,522949.101685,119721,7088,0.149143
3500000,459953.076735,119624,7191,0.200046
3550000,421748.569298,119640,7150,0.377826
3600000,499775.726544,119631,7188,0.485142
3650000,453860.604661,119584,7197,0.033109
3700000,486134.594711,119542,7234,0.047974
3750000,357256.539045,119460,7167,0.140174
3800000,489043.286907,119441,7209,0.017835
3850000,476129.459888,119463,7269,0.209237
