step,rg2,perim,cycles
50000,18412.574301,12754,79139
100000,19280.722853,17944,71183
150000,19985.797132,22060,65204
200000,20546.177074,25549,60714
250000,21014.090867,28509,57102
300000,21499.588570,31355,53388
350000,21936.461115,33798,50743
400000,22319.800217,36172,48170
450000,22650.399404,38126,45889
500000,22976.193678,40161,43890
550000,23289.007652,42149,41832
600000,23616.845738,43862,40117
650000,23875.306746,45397,38756
700000,24121.632711,46969,37304
750000,24370.952855,48436,35972
800000,24600.394450,49783,34817
850000,24834.990286,51131,33651
900000,25136.171091,52597,32415
950000,25296.723437,53847,31503
1000000,25515.172628,55082,30550
1050000,25756.189976,56219,29623
1100000,25913.013893,57391,28906
1150000,26112.210919,58503,27967
1200000,26347.509803,59528,27363
1250000,26522.046104,60477,26762
1300000,26710.759781,61443,26003
1350000,26867.459610,62367,25229
1400000,27000.991835,63260,24844
1450000,27204.622639,64173,24271
1500000,27340.813336,64865,23836
1550000,27468.472454,65723,23197
1600000,27620.572183,66466,22703
1650000,27774.308682,67272,22250
1700000,27914.134959,67991,21857
1750000,28061.656088,68663,21722
1800000,28160.175469,69378,21164
1850000,28276.590610,69938,20965
1900000,28398.953900,70744,20566
1950000,28509.650319,71167,20500
2000000,28637.586897,71700,20105
2050000,28729.216781,72201,19986
2100000,28880.826718,72900,19495
2150000,28986.506255,73408,19146
2200000,29062.276592,73950,19202
2250000,29181.373435,74531,18822
2300000,29307.124535,74775,18683
2350000,29368.427808,75177,18549
2400000,29465.950792,75686,18239
2450000,29556.103130,76261,18150
2500000,29674.827272,76864,17585
2550000,29796.675445,77223,17556
2600000,29939.116274,77631,17419
2650000,29990.662296,78152,17233
2700000,30065.755724,78585,17061
2750000,30159.066472,78901,16852
2800000,30218.365561,79318,16670
2850000,30338.604329,79770,16552
2900000,30432.336298,80199,16336
2950000,30478.977233,80480,16442
3000000,30563.859627,80851,16257
3050000,30634.806802,81251,16127
3100000,30763.753957,81549,15946
3150000,30780.748703,81883,15856
3200000,30895.323657,82128,15774
3250000,30981.408940,82383,15580
3300000,31049.696584,82758,15562
3350000,31126.726864,83154,15250
3400000,31174.445159,83400,15309
3450000,31296.099973,83592,15190
3500000,31324.799867,83857,15032
3550000,31409.090092,84076,15052
3600000,31479.772530,84556,14790
3650000,31538.111962,84789,14658
3700000,31587.073685,85031,14628
3750000,31661.515133,85256,14666
3800000,31741.669617,85522,14534
3850000,31783.093785,85717,14403
3900000,31867.716820,85936,14351
3950000,31957.278908,86111,14351
4000000,32005.790481,86488,14196
4050000,32128.179966,86794,14115
4100000,32175.382681,86948,14211
4150000,32196.515554,87205,14125
4200000,32274.343944,87518,14096
4250000,32388.976853,87806,13701
4300000,32419.619654,88029,13555
4350000,32507.254417,88385,13563
4400000,32620.083043,88453,13720
4450000,32697.350977,88627,13553
4500000,32732.942368,88781,13509
4550000,32854.173646,89161,13398
4600000,32876.914853,89436,13390
4650000,32963.721515,89659,13371
4700000,33036.653394,89842,13398
4750000,33080.858652,90121,13110
4800000,33154.144441,90311,12902
4850000,33197.841727,90380,13043
4900000,33231.337327,90417,12966
4950000,33319.303248,90697,13011
5000000,33407.291915,90908,12934
5050000,33455.600959,90935,12842
5100000,33492.764286,91098,12949
5150000,33569.773583,91331,12735
5200000,33571.498087,91568,12676
5250000,33611.341049,91903,12536
5300000,33698.764805,91980,12527
5350000,33746.352946,92231,12391
5400000,33821.492428,92384,12327
5450000,33832.958409,92578,12287
5500000,33943.235486,92732,12260
5550000,33956.841384,92633,12343
5600000,34021.151931,92933,12318
5650000,34128.100158,92922,12214
5700000,34173.334088,93085,12349
5750000,34208.982192,93182,12323
5800000,34244.555189,93373,12373
5850000,34299.097527,93514,12305
5900000,34307.109352,93560,12252
5950000,34395.567549,93660,12099
6000000,34417.415323,93811,12263
6050000,34494.030854,93965,12191
6100000,34582.378671,93924,12166
6150000,34624.399305,94213,12161
6200000,34685.172493,94279,12128
6250000,34679.614823,94376,12031
6300000,34645.733495,94477,12129
6350000,34726.210495,94726,11819
6400000,34720.140400,94853,11868
6450000,34784.825994,94940,11865
6500000,34853.700798,95227,11801
6550000,34899.058685,95243,11737
6600000,34891.452962,95296,11696
6650000,34970.908436,95394,11745
6700000,35033.828798,95562,11532
6750000,35027.673256,95652,11563
6800000,35050.826257,95774,11419
6850000,35181.797286,95805,11592
6900000,35237.533581,95991,11520
6950000,35279.581921,96063,11599
7000000,35341.120734,96231,11466
7050000,35407.730169,96336,11732
7100000,35459.408758,96389,11633
7150000,35442.223162,96483,11520
7200000,35488.717950,96632,11296
7250000,35496.554584,96612,11416
7300000,35628.285106,96818,11452
7350000,35633.813259,97214,11105
7400000,35728.232509,97277,11173
7450000,35752.860651,97404,11181
7500000,35746.198913,97322,11338
7550000,35842.743662,97344,11329
7600000,35839.931063,97358,11328
7650000,35849.649707,97341,11247
7700000,35896.669376,97462,11384
7750000,35922.131688,97578,11363
7800000,35965.343105,97762,11249
7850000,35974.151712,97743,11268
7900000,36030.790685,97927,11082
7950000,36038.733873,98094,11135
8000000,36048.292327,98230,11077
8050000,36201.238552,98290,10974
8100000,36306.357944,98472,10922
8150000,36348.100669,98578,11049
8200000,36368.324062,98602,11078
8250000,36466.718443,98898,10825
8300000,36463.963169,98903,11048
8350000,36526.446382,98922,10947
8400000,36549.910810,98855,10946
8450000,36558.037172,98763,10992
8500000,36605.289954,99046,10912
8550000,36693.588190,99191,10791
8600000,36721.641240,99270,10795
8650000,36770.943940,99309,10818
8700000,36841.418239,99391,10816
8750000,36882.674969,99328,10764
8800000,36920.889226,99342,10911
8850000,36945.546257,99358,11020
8900000,36965.716975,99562,11012
8950000,37051.538361,99567,10824
9000000,37024.644276,99767,10603
9050000,37092.752514,99960,10546
9100000,37177.042129,100033,10706
9150000,37229.991422,100153,10664
9200000,37259.333145,100338,10683
9250000,37316.624964,100448,10566
9300000,37382.363009,100486,10581
9350000,37402.273693,100605,10534
9400000,37461.745689,100696,10623
9450000,37486.145545,100677,10565
9500000,37538.904171,100729,10543
9550000,37524.619434,100589,10547
9600000,37541.122667,100731,10620
9650000,37618.892113,100704,10739
9700000,37609.878449,100987,10520
9750000,37610.056234,101027,10501
9800000,37709.841308,101197,10418
9850000,37728.070973,101147,10384
9900000,37757.821408,101300,10491
9950000,37765.601842,101277,10522
