step,rg2,perim,cycles,asph
50000,259393.148175,119467,7291,0.050537
100000,257956.820876,119633,7340,0.049670
150000,258554.931957,119322,7380,0.048830
200000,258083.970408,119407,7325,0.049605
250000,258964.572405,119565,7192,0.051498
300000,259030.533057,119918,7169,0.050879
350000,258834.254376,119886,7086,0.051160
400000,285701.837381,119832,7215,0.177793
450000,285540.042276,119861,7230,0.180093
500000,285226.538494,120010,7168,0.192854
550000,284409.091785,119764,7315,0.192228
600000,281170.003064,119916,7188,0.189440
650000,281189.011658,119797,7302,0.188834
700000,281515.660836,119771,7263,0.189540
750000,281337.998311,119633,7164,0.189636
800000,281822.592101,119669,7199,0.190141
850000,281835.841819,119823,7216,0.192085
900000,272525.462309,119682,7171,0.203129
950000,272298.302728,119780,7124,0.203559
1000000,267181.140195,119917,7049,0.226493
1050000,266987.265886,119936,7118,0.226747
1100000,266999.689875,120039,7052,0.226800
1150000,266324.824915,120006,7058,0.224415
1200000,267663.897390,120007,7153,0.225006
1250000,266359.461150,119945,7066,0.223612
1300000,267426.451766,120104,7002,0.225533
1350000,267509.256671,120019,7101,0.227578
1400000,267312.145738,120038,7082,0.226595
1450000,267708.067485,119993,7192,0.227881
1500000,267824.979606,119708,7274,0.228230
1550000,267572.894369,119656,7302,0.229481
1600000,276791.289269,119685,7177,0.248096
1650000,276479.379386,119620,7249,0.246820
1700000,276375.055638,119702,7169,0.247619
1750000,275954.245253,119617,7219,0.247830
1800000,273013.129421,119319,7241,0.276411
1850000,280775.542674,119276,7311,0.278499
1900000,281023.472047,119278,7384,0.279583
1950000,280967.794615,119258,7386,0.280121
2000000,279668.713198,119311,7259,0.271535
2050000,279603.306608,119627,7130,0.272133
2100000,278914.565730,119577,7179,0.264205
2150000,278841.187891,119593,7304,0.257382
2200000,279122.033043,119693,7099,0.255986
2250000,279157.193428,119622,7286,0.255756
2300000,279013.040109,119547,7341,0.255863
2350000,278453.847664,119467,7365,0.255896
2400000,278479.189222,119522,7248,0.255282
2450000,279055.214339,119354,7275,0.256386
2500000,280647.148061,119214,7475,0.259662
2550000,280436.562675,119428,7391,0.258245
2600000,280514.830513,119326,7363,0.256615
2650000,282360.627869,119240,7416,0.260586
2700000,282153.926926,119320,7373,0.260925
2750000,281517.331939,119493,7196,0.258602
2800000,281847.039466,119295,7369,0.262294
2850000,282242.902630,119291,7411,0.261772
2900000,281869.640187,119271,7289,0.264233
2950000,278523.944148,119233,7258,0.235219
3000000,278534.613090,119329,7218,0.233979
3050000,279184.858944,119251,7331,0.235227
3100000,279189.360111,119263,7182,0.236760
3150000,279257.195869,119295,7225,0.236251
3200000,279411.292588,119356,7285,0.235387
3250000,280782.079242,119455,7338,0.235118
3300000,286689.916729,119610,7300,0.254946
3350000,286726.087215,119573,7378,0.254088
3400000,287766.195700,119449,7469,0.257176
3450000,288164.942236,119800,7123,0.257783
3500000,288457.926024,119617,7283,0.255812
3550000,287100.568697,119651,7325,0.254466
3600000,284567.871466,119610,7325,0.252347
3650000,285225.644487,119517,7303,0.252206
3700000,285526.807969,119753,7181,0.221583
3750000,285361.197849,119559,7343,0.221996
3800000,284614.460833,119537,7296,0.223996
3850000,281233.040389,119474,7312,0.226405
3900000,283381.656791,119298,7405,0.230783
3950000,282586.161097,119241,7393,0.229123
4000000,287457.492281,119263,7370,0.237926
4050000,287670.894297,119228,7306,0.240127
4100000,288736.298182,119411,7397,0.239848
4150000,288455.502593,119231,7483,0.239956
4200000,287737.262122,119227,7443,0.238014
4250000,287700.675007,119210,7352,0.238486
4300000,287718.598830,119117,7411,0.237693
4350000,288149.536225,119257,7311,0.239046
4400000,287866.026659,119163,7363,0.239619
4450000,288029.794911,119246,7496,0.239630
4500000,287962.113177,119432,7288,0.237859
4550000,287898.866204,119338,7435,0.237869
4600000,287776.510964,119386,7411,0.236898
4650000,287552.347690,119442,7297,0.237022
4700000,286176.986650,119394,7356,0.217428
4750000,285967.964056,119202,7375,0.214297
4800000,286578.046445,119260,7407,0.215158
4850000,284430.473854,119245,7349,0.209885
4900000,283608.773933,119244,7418,0.212172
4950000,283827.325817,119440,7346,0.211521
5000000,283491.080741,119186,7391,0.210564
5050000,282559.355390,119097,7374,0.213093
5100000,283050.851706,119118,7375,0.213624
5150000,283024.457827,119011,7454,0.212798
5200000,282520.319359,119287,7341,0.213463
5250000,283728.354935,119205,7438,0.211456
5300000,284207.947196,119237,7413,0.211226
5350000,284676.387642,119121,7338,0.212539
5400000,284000.750996,119415,7300,0.211534
5450000,284489.486873,119392,7406,0.211895
5500000,283535.202016,119312,7412,0.218302
5550000,283155.401814,119403,7407,0.216169
5600000,283046.970755,119363,7474,0.216306
5650000,283567.861003,119389,7453,0.215743
5700000,285997.516964,119540,7334,0.231441
5750000,279274.462219,119448,7369,0.212776
