step,rg2,perim,cycles,asph
50000,578500.166500,119398,7348,0.677117
100000,542391.138463,119319,7427,0.537887
150000,575936.701840,119196,7516,0.595538
200000,602597.579204,119285,7440,0.669534
250000,412923.464995,119353,7382,0.216735
300000,397876.434245,119381,7417,0.192628
350000,369147.019133,119488,7339,0.068746
400000,448591.524615,119426,7354,0.401251
450000,615755.879769,119322,7351,0.437054
500000,716497.190705,119431,7271,0.830520
550000,626483.006778,119544,7263,0.678526
600000,657826.958649,119442,7335,0.583006
650000,594506.227757,119496,7230,0.575378
700000,536332.208733,119430,7348,0.490512
750000,681148.499785,119485,7328,0.662474
800000,491079.568527,119473,7348,0.154533
850000,583371.069469,119527,7313,0.532222
900000,638781.861626,119425,7407,0.606680
950000,454723.279311,119444,7348,0.389498
1000000,437148.784013,119468,7354,0.193901
1050000,526792.724407,119299,7454,0.439110
1100000,666122.270981,119477,7373,0.714655
1150000,513307.808654,119342,7333,0.450652
1200000,376826.729571,119263,7379,0.109632
1250000,374949.885780,119246,7391,0.134855
1300000,422706.643112,119264,7453,0.259729
1350000,509590.404753,119329,7337,0.610398
1400000,581200.823958,119322,7311,0.574650
1450000,518361.516233,119261,7361,0.397670
1500000,585128.717461,119390,7377,0.706905
1550000,642229.337994,119348,7342,0.598372
1600000,678686.425198,119322,7295,0.595577
1650000,672814.172374,119381,7282,0.601534
1700000,466445.836337,119447,7241,0.247654
1750000,510087.008084,119432,7262,0.445075
1800000,528314.619934,119372,7259,0.469643
1850000,541369.035275,119422,7160,0.459375
1900000,550556.368197,119425,7218,0.520525
1950000,470408.797829,119600,7238,0.350836
2000000,498678.200929,119669,7245,0.556909
2050000,559943.063099,119577,7210,0.682230
2100000,540325.869755,119552,7196,0.527397
2150000,522653.113714,119706,7210,0.504277
2200000,625111.056253,119617,7261,0.613335
2250000,602304.383799,119640,7251,0.555858
2300000,585666.790711,119732,7191,0.543007
2350000,476611.379052,119832,7066,0.295201
2400000,370707.898140,119702,7240,0.062437
2450000,450054.267630,119634,7210,0.021670
2500000,353570.552053,119569,7215,0.057108
2550000,363573.527244,119548,7152,0.199438
2600000,394691.002556,119528,7207,0.165783
2650000,397491.920581,119544,7281,0.087782
2700000,348217.328065,119526,7239,0.197139
2750000,404627.615937,119489,7181,0.142744
2800000,365928.893827,119446,7188,0.101440
2850000,354136.367778,119369,7277,0.136688
2900000,487579.401542,119418,7292,0.335738
2950000,513099.549178,119394,7380,0.431671
3000000,393248.389160,119478,7414,0.348081
3050000,506253.338796,119587,7355,0.462280
3100000,426973.978199,119497,7244,0.232676
3150000,485512.898233,119552,7230,0.172573
3200000,671421.528608,119563,7172,0.626087
3250000,560568.598244,119600,7226,0.474852
3300000,638832.172485,119696,7172,0.544065
3350000,689522.305353,119722,7264,0.662870
3400000,687075.988600,119724,7256,0.642237
3450000,625337.578917,119777,7210,0.667274
3500000,547006.915413,119772,7124,0.273603
3550000,512575.846174,119764,7226,0.378292
3600000,499605.053239,119721,7268,0.426691
3650000,670481.100763,119689,7294,0.402233
3700000,782102.505854,119532,7242,0.627778
3750000,719918.427637,119587,7268,0.323594
3800000,543598.520522,119523,7198,0.207752
3850000,643970.887317,119541,7240,0.193616
3900000,640516.187611,119533,7265,0.182266
3950000,524112.233143,119410,7308,0.252322
4000000,617653.735615,119321,7313,0.427361
4050000,722814.354070,119463,7239,0.561138
4100000,717016.294519,119392,7310,0.656394
4150000,553228.614395,119250,7356,0.522486
4200000,678622.276862,119162,7398,0.660951
4250000,654164.922577,119256,7254,0.237824
4300000,650294.465309,119269,7358,0.671970
4350000,634865.485307,119342,7308,0.647276
4400000,687755.753089,119369,7233,0.614892
4450000,535541.110622,119211,7329,0.448185
4500000,631853.758257,119174,7266,0.589141
4550000,597911.809766,119003,7380,0.594181
4600000,551402.164281,118945,7400,0.547443
4650000,468148.031607,119033,7399,0.138400
4700000,439142.605852,118926,7472,0.134100
4750000,391880.249602,118841,7556,0.002122
4800000,350165.066304,118758,7458,0.077880
4850000,412371.264038,118908,7471,0.004113
4900000,629819.552902,119113,7463,0.244531
4950000,446299.453201,119108,7369,0.044728
5000000,493607.357044,119258,7389,0.417644
5050000,561999.389496,119299,7429,0.303352
5100000,469053.892870,119276,7463,0.131886
5150000,524707.430148,119318,7404,0.493710
5200000,368925.173869,119348,7398,0.075943
5250000,401657.349896,119539,7285,0.176258
5300000,687251.002337,119598,7291,0.575500
5350000,490898.069360,119515,7281,0.358185
5400000,459341.369980,119570,7244,0.454042
5450000,408503.331443,119525,7219,0.015019
5500000,518996.510852,119438,7230,0.281402
5550000,486036.133839,119433,7224,0.712894
