step,rg2,perim,cycles,asph,movfrac
100000,12439779.958003,1242209,800986,0.172660,0.9219
200000,12439287.835737,1256399,750790,0.172669,0.8750
300000,12435781.251730,1270199,707083,0.172809,0.8984
400000,12776632.080082,1284396,668112,0.195378,0.7656
500000,12776468.707796,1298323,633281,0.195383,0.8594
600000,12776108.779594,1311718,601870,0.195466,0.8047
700000,12771236.330727,1324811,573542,0.196434,0.6719
800000,12766902.658089,1337459,547769,0.196920,0.6719
900000,12720184.619080,1349587,524430,0.181780,0.7422
1000000,13308107.893731,1361355,503385,0.200327,0.6562
1100000,14471281.847864,1372733,483680,0.230745,0.6562
1200000,14501656.137646,1383460,465794,0.226745,0.6484
1300000,14500917.209525,1393953,449331,0.226854,0.6328
1400000,11785296.696742,1403766,434005,0.100341,0.6641
1500000,11787524.004884,1413363,419607,0.100285,0.6641
1600000,11788638.394496,1422491,406638,0.100173,0.6328
1700000,11480695.888709,1431316,394212,0.122882,0.5859
1800000,14625643.687938,1440035,382862,0.279804,0.6797
1900000,14628809.437756,1448502,371885,0.279836,0.5156
2000000,15197405.783099,1456575,361786,0.304615,0.5547
2100000,10782128.932180,1464620,352191,0.035787,0.5391
2200000,10418847.984364,1472407,343644,0.054720,0.5703
2300000,10419482.797986,1479481,335620,0.054813,0.5000
2400000,10467622.065145,1486350,327880,0.061775,0.5859
2500000,10567634.334534,1493175,320459,0.043294,0.5703
2600000,10522850.459107,1499575,313616,0.044968,0.4141
2700000,9990937.428142,1505701,307121,0.006465,0.5312
2800000,9989042.618555,1511860,300931,0.006278,0.4766
2900000,9964001.364229,1517907,295054,0.006541,0.4688
3000000,10520514.080517,1523629,289605,0.015973,0.4844
3100000,10754214.072207,1529155,284532,0.308247,0.4609
3200000,8801800.428609,1534525,279573,0.144029,0.4297
3300000,8794470.097580,1539815,274866,0.143110,0.4766
3400000,8346280.666363,1544807,270138,0.175744,0.4297
3500000,8296570.893296,1550066,265590,0.171612,0.4453
3600000,9312648.325217,1554980,261500,0.445138,0.5234
3700000,9428783.453798,1559520,257732,0.445947,0.5156
3800000,9115583.046591,1564062,254225,0.439199,0.5547
3900000,9141804.201057,1568427,250684,0.440948,0.4531
4000000,9378117.893203,1572587,247314,0.437751,0.4766
4100000,9366996.674179,1576892,243848,0.436734,0.3984
4200000,9378291.032305,1580935,240792,0.431466,0.3672
4300000,9184925.587516,1584789,237824,0.054525,0.4531
4400000,9152922.595726,1588505,235035,0.053725,0.3906
4500000,12653090.231571,1592443,232205,0.207493,0.3516
4600000,12938281.360739,1596074,229482,0.145626,0.3906
4700000,11383752.570413,1599421,227245,0.187628,0.4688
4800000,10483724.732183,1602934,224897,0.220089,0.4297
4900000,10493937.372807,1606316,222515,0.219423,0.4141
5000000,10492704.313949,1609618,220319,0.219318,0.3594
5100000,10492355.542428,1612865,218134,0.219344,0.4609
5200000,10496622.244262,1616144,215984,0.219831,0.4688
5300000,10524017.873157,1619285,214233,0.217967,0.3750
5400000,10529901.744456,1622247,212338,0.218336,0.3828
5500000,12947497.014533,1625084,210663,0.202409,0.3516
5600000,12705556.570419,1628002,208882,0.192646,0.4375
5700000,12713155.311092,1630848,207228,0.192244,0.4688
5800000,12762027.621123,1633472,205572,0.153227,0.4375
5900000,12692298.668631,1636406,203797,0.153389,0.3672
6000000,12358985.145748,1639043,202375,0.171120,0.4062
6100000,11172751.039373,1641478,200969,0.122758,0.4141
6200000,11173532.566835,1644246,199236,0.122944,0.3516
6300000,11174993.379103,1646690,197871,0.125040,0.4766
6400000,11174964.177266,1648837,196495,0.125026,0.4609
6500000,12453995.373150,1651005,195133,0.193804,0.3203
6600000,12454823.155465,1653368,193857,0.193929,0.4531
6700000,12461145.199985,1655408,192943,0.197034,0.4375
6800000,13300705.149676,1657647,191747,0.378914,0.3750
6900000,12847751.768113,1660066,190399,0.363770,0.3750
7000000,12814278.311450,1662097,189360,0.372703,0.3281
7100000,12815504.232343,1664032,188352,0.372992,0.4062
7200000,12814002.252295,1666121,187390,0.372767,0.4219
7300000,12553436.874618,1668252,186235,0.432806,0.3750
7400000,10315121.263397,1670406,185037,0.354296,0.3984
7500000,10349561.908483,1672263,184104,0.344072,0.3672
7600000,10345541.249536,1674322,182988,0.342884,0.3594
7700000,10346981.597106,1676219,182214,0.342962,0.4844
7800000,10275906.633307,1678206,181232,0.333251,0.3906
7900000,11589332.425457,1680066,180364,0.117601,0.3828
8000000,11595510.588000,1681805,179511,0.117739,0.4219
