step,rg2,perim,cycles,asph,movfrac
100000,10492101.336049,1612753,218441,0.219251,0.4141
200000,10517983.708357,1615809,216368,0.218798,0.5078
300000,10619527.431555,1618918,214305,0.205719,0.3906
400000,10627787.057036,1621994,212369,0.033971,0.3516
500000,10627199.623096,1624826,210726,0.034002,0.3672
600000,11664660.216533,1627847,208911,0.085391,0.4531
700000,11664801.745321,1630682,207135,0.085380,0.3594
800000,12017512.431083,1633523,205295,0.154142,0.4375
900000,11918278.438758,1635955,203723,0.154969,0.4688
1000000,11536649.345150,1638419,202361,0.124268,0.4219
1100000,11528253.715702,1640917,200887,0.123799,0.3906
1200000,11511704.948603,1643563,199470,0.123223,0.3516
1300000,10446375.968101,1646162,198086,0.247634,0.4609
1400000,10021223.557575,1648524,196675,0.430542,0.4141
1500000,10334519.724862,1650817,195393,0.554634,0.3750
1600000,10334847.797837,1653002,194247,0.555385,0.3359
1700000,10114827.802269,1655193,193039,0.543074,0.3516
1800000,9707838.560937,1657367,191630,0.505305,0.3672
1900000,10141839.099885,1659476,190580,0.550019,0.3516
2000000,10255212.737258,1661535,189202,0.605953,0.3594
2100000,10270017.255126,1663767,188092,0.594547,0.3438
2200000,9571056.221128,1665739,187055,0.507625,0.4219
2300000,9576583.174683,1667641,186036,0.508663,0.4062
2400000,9561016.830474,1669715,185016,0.507126,0.3672
2500000,9629739.605556,1671785,183887,0.465787,0.3828
2600000,9857117.408330,1673719,183153,0.526847,0.4219
2700000,9854594.996422,1675719,182263,0.527110,0.3984
2800000,9854822.371281,1677890,181210,0.527154,0.3750
