step,rg2,perim,cycles,asph,movfrac
100000,11731206.213217,1242655,800192,0.590149,0.9531
200000,11729992.703478,1256816,749889,0.590304,0.9297
300000,11743787.229382,1270925,706250,0.591332,0.8672
400000,11744931.162856,1284999,667342,0.591389,0.7812
500000,11744330.482574,1298768,632815,0.591463,0.7891
600000,12280496.835998,1312048,601533,0.622771,0.7734
700000,11749686.391155,1324725,573422,0.648011,0.8281
800000,11746717.728817,1337258,548209,0.647816,0.7188
900000,11743518.065096,1348931,525547,0.647682,0.6406
1000000,11745613.506981,1360490,504528,0.647661,0.6797
1100000,12023407.772048,1371939,484599,0.642388,0.6172
1200000,11976822.283285,1382486,466889,0.640301,0.6641
1300000,11974589.148787,1392990,450439,0.635251,0.6953
1400000,11973044.633512,1402955,435061,0.635201,0.6250
1500000,12893320.039268,1412651,420531,0.505557,0.5703
1600000,12834683.960615,1421939,407454,0.502437,0.5859
1700000,12833465.366687,1430559,395305,0.502583,0.6406
1800000,12516306.040021,1439290,383724,0.625967,0.6328
1900000,11828844.356607,1447329,373232,0.216695,0.5312
2000000,11769000.723951,1455031,363518,0.214489,0.5391
2100000,19262447.098370,1462562,353987,0.763762,0.5703
2200000,19273762.868049,1470042,345145,0.763140,0.5859
2300000,18952084.639995,1477309,336716,0.743314,0.5938
2400000,18960828.932301,1484582,328557,0.744113,0.5000
2500000,18962577.777162,1491253,321230,0.790638,0.5703
2600000,18968754.284030,1497944,313989,0.790704,0.5156
2700000,12315173.648197,1504066,307610,0.549989,0.3984
2800000,12364081.341540,1510091,301368,0.546077,0.5234
2900000,12366367.933836,1516158,295783,0.545963,0.5859
3000000,10394542.662392,1521886,290243,0.558076,0.5391
3100000,13051669.762736,1527292,285217,0.735261,0.5234
3200000,14010865.760489,1532612,280233,0.759281,0.4531
3300000,14013582.092744,1537852,275522,0.759452,0.4219
3400000,14012590.688436,1543136,271069,0.759673,0.3828
3500000,16576614.355930,1548129,266671,0.677131,0.4141
3600000,16636774.301954,1552725,262655,0.678395,0.5312
3700000,16637409.315077,1557309,258882,0.678345,0.3906
3800000,16373966.764668,1561571,255106,0.586845,0.4531
3900000,8922631.689759,1565786,251717,0.127926,0.5156
4000000,14263878.403157,1570043,248269,0.556407,0.3984
4100000,14262964.281265,1574281,245058,0.556557,0.4844
4200000,14355549.782505,1578469,241750,0.575568,0.3750
4300000,14214756.031992,1582446,238792,0.562112,0.4297
4400000,12264988.662906,1586168,235897,0.296991,0.3828
4500000,14067995.680972,1589810,233511,0.399595,0.4531
4600000,14070528.099348,1593582,230930,0.396041,0.4453
4700000,13136742.510285,1597398,228169,0.453797,0.3984
4800000,13074117.774299,1600705,225833,0.381888,0.4688
4900000,13086054.646823,1604193,223403,0.382183,0.4766
5000000,14843556.011993,1607474,221406,0.491890,0.4453
5100000,14855983.980159,1610532,219105,0.491352,0.4844
5200000,18586884.528273,1613709,217021,0.684767,0.4297
