step,rg2,perim,cycles,asph,movfrac
100000,14458363.652183,1806315,137689,0.634408,0.2734
200000,14660036.066183,1806734,137450,0.473163,0.2891
300000,14636268.630443,1807103,137352,0.473064,0.2656
400000,14640474.023941,1807828,137007,0.473305,0.4062
500000,11837621.170956,1808057,136802,0.138891,0.3203
600000,12570598.412769,1808467,136626,0.376423,0.2969
700000,12567048.154831,1808664,136753,0.376430,0.2812
800000,12542306.754273,1808861,136865,0.377425,0.2812
900000,12545170.822809,1809111,136701,0.377994,0.3516
1000000,12554768.748929,1809235,136722,0.380587,0.2578
1100000,9890144.345390,1809578,136865,0.050715,0.2188
1200000,12905821.403267,1809877,136851,0.126650,0.2656
1300000,12894742.129260,1810113,136842,0.128027,0.2969
1400000,12827586.739235,1810437,136674,0.212424,0.3750
1500000,12778277.495741,1811061,136345,0.245525,0.3516
1600000,12777500.438606,1811335,136190,0.245493,0.3125
1700000,12631115.099141,1811713,136228,0.252899,0.2422
1800000,12631669.743032,1811884,136037,0.252822,0.3203
1900000,12631019.037747,1812167,136178,0.252881,0.3359
2000000,9575989.116294,1812507,136068,0.030492,0.3594
2100000,9583123.804295,1812845,135844,0.031669,0.2734
2200000,9609219.948060,1813446,135608,0.033454,0.3125
2300000,10100288.665710,1813800,135554,0.236637,0.2969
2400000,7311834.539054,1814176,135528,0.158058,0.3125
2500000,7243512.751769,1814542,135269,0.160143,0.3125
2600000,7237412.244881,1815061,135076,0.167107,0.3047
2700000,7237858.176571,1815186,135209,0.167155,0.2578
2800000,14574563.078760,1815438,135085,0.639616,0.3984
2900000,14634491.267362,1815855,134953,0.635855,0.3828
3000000,8162694.053528,1816155,134864,0.032504,0.2266
3100000,7796298.913761,1816698,134693,0.024243,0.3047
3200000,7845812.390919,1816643,134674,0.022710,0.3672
3300000,10356296.958053,1817047,134494,0.157018,0.3281
3400000,7534045.899232,1817498,134278,0.031591,0.2344
3500000,7777418.039018,1817996,134119,0.020801,0.3516
3600000,7779353.984995,1818163,134152,0.020799,0.2812
3700000,7760273.430397,1818365,134096,0.024600,0.3359
3800000,8504003.851919,1818730,133922,0.028583,0.3281
3900000,8496435.744300,1818945,134030,0.028738,0.3984
