step,rg2,perim,cycles,asph
100000,2211492.186766,321477,166462,0.596699
200000,2209917.238711,334530,136818,0.596226
300000,2161157.625531,345944,116276,0.591432
400000,2038840.074082,355736,101627,0.572847
500000,2114032.974697,364411,90552,0.548414
600000,1986548.551949,371906,81817,0.525116
700000,2083354.346588,378125,75126,0.559278
800000,2191184.755983,383910,69980,0.601750
900000,2290768.156704,388981,65466,0.664665
1000000,2413104.259437,393425,61789,0.664099
1100000,2574998.240939,397466,58737,0.751077
1200000,2525409.339442,401078,56204,0.672566
1300000,2518155.913148,404332,53992,0.673140
1400000,2011282.603684,407428,51951,0.448785
1500000,2005984.717088,410126,50308,0.371513
1600000,1835273.303449,412705,48764,0.446425
1700000,1867223.267137,415075,47456,0.455273
1800000,1869921.777608,417258,46282,0.454833
1900000,2062618.314656,419228,45419,0.443450
2000000,2182690.328868,420993,44613,0.531109
2100000,2217585.709099,422557,43949,0.503188
2200000,2222684.619263,424341,43250,0.502958
2300000,2128954.028499,425666,42663,0.440179
2400000,2031582.984087,427006,41995,0.457939
2500000,3304132.399575,428340,41439,0.776627
2600000,3303571.523923,429511,41027,0.773303
2700000,2994720.897083,430875,40532,0.613319
2800000,3009795.658723,431854,40060,0.607484
2900000,3194841.859261,432928,39894,0.743455
3000000,2693763.914009,434160,39308,0.617492
3100000,2479634.692990,435139,38916,0.647298
3200000,2218568.874404,435949,38652,0.599814
3300000,2246244.734542,436971,38207,0.573132
3400000,2784499.421593,437896,37958,0.734472
3500000,2395335.721056,438656,37679,0.660068
3600000,2485057.182290,439333,37362,0.528076
3700000,2505527.042107,440114,37168,0.512373
3800000,2498310.314428,440466,37030,0.515217
3900000,2510522.088397,441303,36647,0.503723
4000000,3206972.392668,442020,36428,0.667449
4100000,3479415.813328,442596,36308,0.810744
4200000,3405705.492313,443157,36319,0.769309
4300000,3404002.736745,443914,36087,0.776422
4400000,3068831.078690,444381,36019,0.828947
4500000,3234995.812282,444586,35958,0.880045
4600000,3122585.330141,445258,35806,0.855303
4700000,2982355.134560,445830,35634,0.826745
4800000,2964548.699182,446478,35463,0.818871
4900000,1979820.380266,446899,35347,0.400676
5000000,2459534.602951,447385,35321,0.506569
5100000,2368553.161204,447971,35108,0.429423
5200000,3515555.621197,448459,34820,0.818859
5300000,3076920.767073,448667,34809,0.776870
5400000,2703733.768458,449100,34756,0.720575
5500000,1998696.059913,449693,34690,0.484941
5600000,2018396.855307,450304,34535,0.409686
5700000,2056870.874872,450594,34482,0.411412
5800000,2689059.517274,451018,34369,0.699394
5900000,2684107.648373,451357,34264,0.707711
6000000,2672452.672116,451974,34113,0.708542
6100000,2198273.743843,452429,33908,0.439089
6200000,2344955.774254,452718,33817,0.573698
6300000,2565090.101112,453199,33542,0.750047
6400000,2955644.958968,453392,33574,0.790874
6500000,2951390.136391,453735,33583,0.790425
6600000,2929049.976184,454011,33470,0.691122
6700000,2887724.495126,454288,33515,0.697859
6800000,2312021.839119,454655,33343,0.570029
6900000,2407385.970521,455062,33306,0.378552
7000000,3262909.929565,455372,33074,0.767116
7100000,2627334.196956,455717,33027,0.513516
7200000,2332733.313590,456050,33050,0.382953
7300000,2320665.895410,455989,33119,0.389540
7400000,2379890.026473,456340,33022,0.439767
7500000,2267191.972306,456527,32924,0.478092
7600000,2211425.504046,456660,32898,0.398825
7700000,2674033.794692,456791,32927,0.499893
7800000,3224279.975779,456994,33063,0.790218
7900000,3219304.125651,457310,32892,0.793828
8000000,3216016.890516,457471,32712,0.793014
8100000,3187366.302116,457937,32504,0.723172
8200000,3599770.243826,458182,32451,0.839800
8300000,3595737.359832,458316,32553,0.837259
8400000,2673222.438558,458411,32684,0.564590
8500000,1638033.376258,458680,32482,0.060352
8600000,1713082.157500,458944,32404,0.069081
8700000,1799639.360348,459003,32503,0.069587
8800000,1889486.261729,459216,32432,0.344773
8900000,2655319.350311,459307,32510,0.627847
9000000,3042901.872822,459561,32444,0.749446
9100000,1611889.116503,459619,32350,0.267659
9200000,1548325.913902,459880,32276,0.204503
9300000,1653263.345604,460118,32240,0.343695
9400000,1792423.602873,460386,32174,0.296898
9500000,3760358.425788,460560,32241,0.826759
9600000,3637065.300749,460598,32281,0.816433
9700000,3140446.257059,460870,32089,0.691967
9800000,3569862.514347,461191,32099,0.693725
9900000,2911049.042175,461557,32016,0.367988
10000000,4123964.124036,461634,31959,0.838155
10100000,2202774.900075,461982,31935,0.295803
10200000,2590769.012705,462326,31989,0.389678
10300000,2871973.576427,462360,32101,0.514662
10400000,2644902.390588,462547,31727,0.523236
10500000,3174079.460678,462776,31419,0.701189
10600000,2709127.346980,462898,31570,0.643877
10700000,2719810.172785,463203,31472,0.630735
10800000,2433876.410256,463234,31575,0.576556
10900000,2289871.439789,463432,31451,0.506088
11000000,2469624.052479,463585,31411,0.599087
11100000,1623744.378431,463608,31478,0.234585
11200000,1931174.925841,463511,31502,0.295503
11300000,1929179.890551,463302,31500,0.294026
11400000,3068793.624493,463396,31611,0.677783
11500000,1962420.615404,463646,31577,0.234373
11600000,2360764.886091,463863,31514,0.482935
11700000,2367431.604621,463863,31561,0.483233
11800000,3053717.739763,463946,31550,0.783687
11900000,2824014.509844,464064,31666,0.604190
12000000,2826470.731798,464136,31564,0.606028
12100000,3065392.175627,464107,31580,0.787266
12200000,2410183.039088,464303,31553,0.514576
12300000,2411323.997279,464557,31404,0.516360
12400000,2456129.301169,464691,31442,0.515890
12500000,1961418.511451,464821,31334,0.455270
12600000,2158097.064269,464837,31282,0.578553
12700000,2089723.785265,464883,31289,0.492504
12800000,2106596.183465,464923,31379,0.493250
12900000,2106653.311581,464940,31388,0.493703
13000000,2296097.218949,465134,31480,0.392593
13100000,2638272.639766,465487,31432,0.556135
13200000,1525718.888267,465610,31319,0.048142
13300000,1509152.637084,465903,31193,0.053022
13400000,2380024.079453,465952,31135,0.448929
13500000,2383812.625950,465955,31179,0.450276
13600000,2384492.158269,465914,31255,0.635508
13700000,2012452.732582,466087,31260,0.496108
13800000,2048593.177680,466211,31134,0.463371
13900000,2687422.441857,466163,31201,0.729730
14000000,2630044.707843,466333,31234,0.784445
14100000,1754994.807332,466309,31269,0.275036
14200000,2421343.219962,466362,31139,0.541500
14300000,2292746.483927,466577,31167,0.611570
14400000,2279978.967086,466897,31138,0.610330
14500000,1996762.917422,466921,31107,0.423599
14600000,1896633.564026,466987,31025,0.402499
14700000,2324876.029366,467010,31025,0.648478
14800000,2357769.546768,466632,31249,0.661308
14900000,2957425.612928,466867,30947,0.726728
15000000,2997525.209464,467039,31032,0.791024
15100000,2349807.763428,467183,30918,0.296983
15200000,2310073.163706,467172,30958,0.550093
15300000,1743373.765074,467361,30877,0.030151
15400000,3318276.108777,467349,31093,0.792522
15500000,2736160.658587,467690,30975,0.502878
15600000,3273058.626978,467789,30931,0.704967
15700000,3460305.992594,467971,30892,0.835981
15800000,1396403.412881,467938,30929,0.135627
15900000,2105749.898725,467948,30842,0.610375
16000000,2170046.347752,468029,30934,0.659833
16100000,2364608.351985,468108,30947,0.716007
16200000,1684806.877346,468184,30931,0.478092
16300000,1694617.634404,468252,30929,0.447639
16400000,1874972.686782,468475,30870,0.432772
16500000,1970408.151581,468540,30813,0.155149
16600000,2156223.191012,468749,30774,0.080379
16700000,2153769.873521,468704,30846,0.130918
16800000,2159215.659297,468840,30887,0.125027
16900000,2120728.487308,468788,30962,0.229950
17000000,1624032.569938,468932,30955,0.127902
17100000,2274811.200096,469037,30879,0.273497
17200000,2271895.685787,468952,30936,0.278936
17300000,2035470.380738,468958,30917,0.246424
17400000,2036975.616870,468998,30914,0.241019
17500000,2037000.516500,469244,30946,0.371287
17600000,1573128.897651,469367,30976,0.130721
17700000,1622406.621087,469600,30958,0.022121
17800000,1740238.175075,469638,30834,0.149196
17900000,1658577.490147,469679,30798,0.169483
18000000,2172216.217755,469729,
