step,rg2,perim,cycles,asph
100000,1517507.826754,320623,167307,0.138923
200000,1517892.565952,333455,137693,0.135950
300000,1926790.142888,345133,116710,0.074280
400000,1933968.993998,354906,102116,0.080089
500000,1914725.127981,363693,90845,0.074323
600000,1659429.101141,371183,82176,0.185413
700000,1612915.247192,377743,75483,0.078948
800000,1574882.288315,383467,69775,0.068978
900000,1366046.952147,388747,65247,0.026970
1000000,1624072.852266,393064,61618,0.154731
1100000,1705428.714559,396956,58410,0.156399
1200000,2021153.217232,400666,55775,0.430178
1300000,1830199.304458,403976,53682,0.331617
1400000,2027210.211107,406793,51950,0.420567
1500000,1663414.356726,409552,50201,0.144868
1600000,1523147.531497,412292,48695,0.016281
1700000,1763045.454920,414822,47406,0.240259
1800000,1655184.869266,417134,46227,0.118411
1900000,1708746.400479,419044,45378,0.098406
2000000,1989613.023439,420869,44491,0.100883
2100000,1747132.720557,422481,43894,0.035070
2200000,1422273.372477,423927,43205,0.005327
2300000,1421314.556583,425663,42377,0.005273
2400000,1538773.823473,426981,42136,0.025434
2500000,1766627.364029,428087,41883,0.077471
2600000,1794843.952081,429326,41253,0.033042
2700000,1946213.471021,430639,40638,0.291653
2800000,1959888.106233,431809,40133,0.299898
2900000,1971366.039119,432757,39684,0.282846
3000000,2072493.029683,433973,39276,0.176374
3100000,1857443.706198,435166,38858,0.141971
3200000,1812280.398335,436073,38449,0.234075
3300000,2129706.926912,437169,38242,0.260564
3400000,2283148.944609,437650,38164,0.393406
3500000,2435726.155649,438317,38080,0.433765
3600000,2269131.789293,439212,37826,0.310159
3700000,2170710.969654,440168,37555,0.212921
3800000,2107483.556238,440836,37260,0.213791
3900000,2113106.075447,441690,36974,0.416092
4000000,1643276.018419,442201,36866,0.156110
4100000,1938264.778481,442630,36617,0.237849
4200000,1473038.579438,443309,36392,0.026376
4300000,1375316.280550,443737,36269,0.004839
4400000,1374613.080438,444378,36141,0.004692
4500000,1349022.428041,445067,35942,0.015957
4600000,1431655.268459,445642,35794,0.119735
4700000,1954847.886282,446093,35588,0.287698
4800000,1947482.093083,446645,35501,0.441642
4900000,1923486.083335,447035,35449,0.582663
5000000,1919975.494611,447379,35296,0.581734
5100000,1942500.331453,447803,35205,0.584609
5200000,1913979.995359,448323,35101,0.505062
5300000,1911899.190883,448646,35098,0.505005
5400000,1749858.177146,449120,34878,0.397807
5500000,1682806.658713,449347,34865,0.303358
5600000,1813830.214807,449794,34694,0.348888
5700000,1737115.634998,450180,34552,0.232834
5800000,1295945.325135,450513,34575,0.020539
5900000,1565676.557898,450848,34405,0.044140
6000000,1569779.753600,450962,34593,0.055312
6100000,1569905.830090,451438,34392,0.054078
6200000,1517065.775400,451797,34286,0.038018
6300000,1680215.947695,452106,34101,0.068517
6400000,1364876.512353,452268,34057,0.020851
6500000,1660498.196881,452442,34127,0.202353
6600000,1546559.632732,452801,34076,0.062441
6700000,1570172.686488,453199,33974,0.035036
6800000,1661538.843805,453424,34037,0.106204
6900000,1330335.179587,454189,33769,0.094718
7000000,1232601.164090,454568,33654,0.027432
7100000,1231859.097177,454828,33541,0.027481
7200000,1231715.456497,455004,33459,0.027434
7300000,1231964.687048,455254,33545,0.027522
7400000,1632445.068377,455568,33304,0.294870
7500000,1642027.100304,455773,33194,0.298493
7600000,1588074.597343,455998,33293,0.228289
7700000,1405847.547710,456677,33022,0.146374
7800000,1490379.917187,457161,32886,0.162395
7900000,1485419.573642,457497,32773,0.154368
8000000,1248959.746358,457714,32644,0.037939
8100000,1275860.923073,457949,32561,0.021438
8200000,1408871.938797,458105,32677,0.072808
8300000,1741304.049162,458104,32759,0.240801
8400000,1608775.955806,458345,32658,0.170001
8500000,2114996.161169,458831,32497,0.183870
8600000,1829754.682219,458873,32725,0.102632
8700000,1562234.070836,459015,32897,0.044416
8800000,1785393.930442,459239,32765,0.220697
8900000,1554973.490355,459456,32524,0.098884
9000000,1580261.447997,459673,32437,0.115474
9100000,1646044.282736,460120,32319,0.147844
9200000,1708774.183487,460331,32185,0.103778
9300000,1826561.031862,460492,32152,0.110410
9400000,1908954.229691,460791,32096,0.117356
9500000,2136366.183338,461021,32043,0.130360
9600000,1909549.313923,461460,31979,0.202625
9700000,1906787.287350,461430,31909,0.036141
9800000,2243574.452379,461514,31976,0.175215
9900000,1863787.536140,461582,32054,0.441173
10000000,1894020.167601,461707,32087,0.477433
10100000,2015835.889677,461890,31957,0.563314
10200000,2113535.999518,462147,31884,0.334622
10300000,2113547.750052,462138,31806,0.335045
10400000,2132574.349089,462330,31716,0.328803
10500000,1904066.027862,462685,31696,0.099943
10600000,1903554.869592,462587,31645,0.170267
10700000,1950374.027366,462823,31579,0.115644
10800000,2005040.588804,462902,31608,0.127893
10900000,2218415.551597,462962,31474,0.189802
11000000,1707288.659142,463135,31421,0.065552
11100000,1657279.099143,463247,31509,0.062393
11200000,1611125.898117,463467,31485,0.027265
11300000,1582766.402710,463673,31373,0.013304
11400000,1938919.059573,463815,31357,0.288032
11500000,1639266.711663,463812,31435,0.219001
11600000,1532086.297159,463953,31412,0.207573
11700000,1500029.113853,464367,31269,0.197574
11800000,1439713.966357,464476,31153,0.036312
11900000,1683019.836837,464522,31260,0.021075
12000000,1681848.138810,464436,31387,0.021491
12100000,1655088.499743,464503,31363,0.032256
12200000,1683763.524738,464591,31425,0.037366
12300000,1696423.831221,464856,31222,0.156860
12400000,1718529.815964,465099,31108,0.087123
12500000,1775856.566542,465125,31216,0.200172
12600000,1898433.256858,465380,31257,0.218046
12700000,2214827.641480,465597,31040,0.389287
12800000,2063228.749895,465423,31244,0.269251
12900000,1923884.551930,465411,31331,0.116749
13000000,1921504.416826,465620,31355,0.116731
13100000,2158996.642536,465784,31138,0.068551
13200000,1890855.400136,465851,31074,0.123620
13300000,1857214.324891,465922,31272,0.072113
13400000,1956961.956632,466255,31066,0.112028
13500000,2286999.468849,466436,31007,0.279753
13600000,2323535.160968,466585,30900,0.276945
13700000,1805587.580918,466732,30959,0.048068
13800000,1949862.471749,466832,30915,0.120709
13900000,2310005.864401,466869,30962,0.426022
14000000,2234914.938002,467050,31011,0.431331
14100000,1762657.462702,467049,31183,0.229266
14200000,2288455.977695,467093,31079,0.414078
14300000,2309540.502441,467090,30982,0.424977
14400000,2057821.189657,467360,30930,0.319086
14500000,2025653.397112,467330,31005,0.145822
14600000,2069872.677871,467281,31049,0.392718
14700000,2188555.168378,467276,31067,0.345140
14800000,1980784.680870,467217,31062,0.348235
14900000,1636572.493675,467392,30992,0.113762
15000000,1749665.964197,467349,31232,0.294011
15100000,1745946.338691,467521,31213,0.289011
15200000,1756076.264166,467407,31155,0.295915
15300000,1915226.487555,467412,31129,0.176218
15400000,1908128.284178,467517,31108,0.078519
15500000,2116215.453431,467702,30981,0.258058
15600000,1583925.196335,467934,30879,0.135822
15700000,1841757.046923,468010,30773,0.038766
15800000,1944672.906345,468223,30821,0.085561
15900000,1939193.292501,468307,30746,0.037610
16000000,1799800.633605,468321,30662,0.053218
16100000,1881422.041092,468289,30717,0.157625
16200000,1710563.419710,468505,30731,0.125837
16300000,1383553.593420,468456,30826,0.008686
16400000,1403842.038042,468666,30693,0.029094
16500000,1408299.751699,468716,30703,0.029386
16600000,1398341.620013,469007,30494,0.026271
16700000,1397076.680319,469240,30458,0.026370
16800000,1381686.092775,469401,30431,0.024824
16900000,1702355.989182,469614,30337,0.034770
17000000,1717541.080398,469813,30323,0.031625
17100000,1748864.742240,469897,30391,0.046671
17200000,1730379.706892,470173,30233,0.041378
17300000,1786011.874408,470232,30157,0.051804
17400000,1716285.231026,470123,30168,0.008884
17500000,2014727.333792,470225,30044,0.200967
17600000,1822667.918058,470292,30161,0.147033
17700000,1855806.521887,470628,30222,0.135472
17800000,1973690.082142,470680,30220,0.117932
17900000,1932514.257350,470560,30261,0.176031
18000000,1537606.336161,470605,
