step,rg2,perim,cycles,asph,movfrac
50000,2796131.989733,478158,28763,0.577082,0.2734
100000,3158817.955770,478087,28842,0.660051,0.3672
150000,3158651.248948,477987,28882,0.660477,0.2812
200000,2886732.407349,477992,28927,0.478747,0.2734
250000,2950830.353388,478076,28891,0.406377,0.2188
300000,2928523.190825,477947,29000,0.495600,0.3594
350000,2286865.670352,477856,29038,0.226827,0.2344
400000,4017354.480847,477912,29080,0.600549,0.3047
450000,3976974.972913,477911,29050,0.596345,0.2969
500000,3778418.941354,477871,29094,0.585153,0.3750
550000,4574923.300570,477819,29142,0.817125,0.3438
600000,4637292.066579,477951,29042,0.845898,0.3125
650000,4775385.932548,477783,29215,0.800945,0.2578
700000,3131426.756572,477814,29188,0.563977,0.2344
750000,2375427.355388,477764,29166,0.226305,0.2578
800000,2460683.081408,477784,29186,0.241396,0.2812
850000,3879094.235241,477772,29274,0.813509,0.3125
