step,rg2
20000,969.289048
40000,1093.266823
60000,1163.053023
80000,1224.133370
100000,1241.288019
120000,1309.442923
140000,1325.194660
160000,1340.037984
180000,1381.428688
200000,1440.282076
220000,1464.883551
240000,1518.862798
260000,1538.498837
280000,1582.390866
300000,1620.066103
320000,1653.564317
340000,1633.202217
360000,1607.037570
380000,1622.623604
400000,1666.644218
420000,1708.718974
440000,1736.376772
460000,1747.644463
480000,1758.920911
500000,1819.677387
520000,1778.377715
540000,1770.924994
560000,1818.267042
580000,1877.386232
600000,1871.898590
620000,1875.977153
640000,1881.494393
660000,1825.914545
680000,1852.588933
700000,1849.034590
720000,1822.893839
740000,1849.689092
760000,1894.277720
780000,1946.356339
800000,1903.336682
820000,1927.280964
840000,1988.093816
860000,1954.802292
880000,2011.502195
900000,2041.833632
920000,2018.961959
940000,2027.960618
960000,2060.000017
980000,2044.821337
1000000,2099.654903
1020000,2112.665098
1040000,2120.428734
1060000,2133.262120
1080000,2114.619898
1100000,2133.968943
1120000,2168.157390
1140000,2194.390140
1160000,2107.074108
1180000,2157.924514
1200000,2178.836756
1220000,2189.873564
1240000,2170.255248
1260000,2140.437850
1280000,2157.875012
1300000,2181.613982
1320000,2202.247682
1340000,2184.538688
1360000,2208.417089
1380000,2142.621124
1400000,2148.341493
1420000,2218.526319
1440000,2197.396817
1460000,2193.912359
1480000,2243.400133
1500000,2217.868235
1520000,2158.268919
1540000,2142.941154
1560000,2158.165935
1580000,2231.962971
1600000,2246.288975
1620000,2300.742904
1640000,2265.325804
1660000,2272.255350
1680000,2295.413173
1700000,2296.337249
1720000,2300.490804
1740000,2309.668492
1760000,2274.177727
1780000,2279.907419
1800000,2332.225948
1820000,2358.855808
1840000,2307.673232
1860000,2363.371484
1880000,2363.450892
1900000,2356.478474
1920000,2325.475417
1940000,2288.770879
1960000,2353.991855
1980000,2315.576402
2000000,2297.361175
2020000,2314.630386
2040000,2342.041048
2060000,2331.790947
2080000,2329.398083
2100000,2300.432105
2120000,2269.764159
2140000,2302.352890
2160000,2297.619872
2180000,2301.987519
2200000,2251.611764
2220000,2211.156711
2240000,2236.793737
2260000,2239.573714
2280000,2237.358954
2300000,2294.741182
2320000,2283.738096
2340000,2340.502026
2360000,2365.478722
2380000,2304.466771
2400000,2277.068906
2420000,2272.127466
2440000,2276.214288
2460000,2284.110620
2480000,2268.297826
2500000,2206.285790
2520000,2295.626498
2540000,2290.500126
2560000,2237.259839
2580000,2266.631709
2600000,2258.263259
2620000,2249.594439
2640000,2274.190170
2660000,2250.025666
2680000,2245.082533
2700000,2296.078645
2720000,2285.163365
2740000,2317.453114
2760000,2309.408544
2780000,2260.980937
2800000,2351.657987
2820000,2342.945374
2840000,2336.072222
2860000,2325.733590
2880000,2339.798024
2900000,2359.831536
2920000,2368.141511
2940000,2414.967697
2960000,2422.010072
2980000,2369.858838
3000000,2420.417737
3020000,2385.914049
3040000,2433.208204
3060000,2425.956219
3080000,2366.892734
3100000,2377.639268
3120000,2350.164976
3140000,2378.127952
3160000,2446.237450
3180000,2473.786069
3200000,2542.811040
3220000,2578.774502
3240000,2587.483153
3260000,2574.568893
3280000,2551.828538
3300000,2502.693440
3320000,2579.690192
3340000,2604.082897
3360000,2636.395491
3380000,2644.125213
3400000,2680.234431
3420000,2766.648322
3440000,2718.086532
3460000,2753.041374
3480000,2764.945954
3500000,2812.555645
3520000,2824.149032
3540000,2854.110371
3560000,2906.784271
3580000,2893.623695
3600000,2906.482897
3620000,2858.968122
3640000,2741.935989
3660000,2814.995888
3680000,2762.405310
3700000,2749.044884
3720000,2754.644837
3740000,2738.575531
3760000,2802.727306
3780000,2779.394132
3800000,2852.518366
3820000,2808.603166
3840000,2789.611796
3860000,2763.260711
3880000,2735.490561
3900000,2729.448509
3920000,2753.359014
3940000,2658.610120
3960000,2674.580368
3980000,2760.484295
4000000,2785.505959
4020000,2791.064437
4040000,2858.970261
4060000,2843.915121
4080000,2807.412949
4100000,2799.718304
4120000,2824.144346
4140000,2827.550838
4160000,2872.350101
4180000,2827.587605
4200000,2848.102504
4220000,2842.781064
4240000,2794.459314
4260000,2783.880551
4280000,2785.545095
4300000,2850.121572
4320000,2843.384762
4340000,2913.944978
4360000,2932.241473
4380000,2915.719350
4400000,2829.665534
4420000,2813.861987
4440000,2799.841929
4460000,2810.871361
4480000,2894.119722
4500000,2882.143883
4520000,2864.753293
4540000,2853.941794
4560000,2867.139332
4580000,2831.626532
4600000,2876.453777
4620000,2814.120292
4640000,2832.935005
4660000,2879.723395
4680000,2837.817759
4700000,2833.937408
