step,rg2
50000,2065377.557494
100000,2056551.386301
150000,2031905.357339
200000,2027401.263517
250000,2004175.040139
300000,1991418.738544
350000,1981597.115761
400000,1961674.657688
450000,1948782.572260
500000,1945290.513147
550000,1928973.140987
600000,1915800.124741
650000,1907551.483407
700000,1877466.820691
750000,1880653.329750
800000,1866740.054113
850000,1849113.750615
900000,1839362.127325
950000,1833899.291311
1000000,1818921.577511
1050000,1802682.755972
1100000,1793399.191865
1150000,1779486.040201
1200000,1765876.340242
1250000,1747919.002190
1300000,1739818.987880
1350000,1720966.634620
1400000,1707128.033933
1450000,1687777.171169
1500000,1678370.502857
1550000,1672607.806410
1600000,1660450.360321
1650000,1657825.966864
1700000,1646823.344889
1750000,1641320.507853
1800000,1630541.266945
1850000,1616204.820739
1900000,1615124.781245
1950000,1590956.993400
2000000,1587723.610056
2050000,1568332.621019
2100000,1557656.926169
2150000,1540878.862794
2200000,1541843.906587
2250000,1521360.021460
2300000,1518318.709598
2350000,1501652.409615
2400000,1495674.481533
2450000,1481846.152381
2500000,1478631.499077
2550000,1475724.831214
2600000,1453864.470355
2650000,1434515.725308
2700000,1429213.340597
2750000,1445118.010522
2800000,1428015.283966
2850000,1416867.181781
2900000,1400510.286704
2950000,1387999.234645
3000000,1383815.792957
3050000,1369760.095400
3100000,1364460.929273
3150000,1362792.978103
3200000,1348772.285472
3250000,1328708.866232
3300000,1330433.023168
3350000,1317081.488894
3400000,1304666.276557
3450000,1278630.351241
3500000,1269746.027420
3550000,1268908.343173
3600000,1267496.020925
3650000,1265338.202577
3700000,1256704.596870
3750000,1249972.006006
3800000,1246022.110494
3850000,1233686.229928
3900000,1222529.960185
3950000,1218352.835258
4000000,1201558.548838
4050000,1188147.663551
4100000,1195577.062850
4150000,1193759.669691
4200000,1186405.856711
4250000,1164434.469654
4300000,1179975.926416
4350000,1164840.028050
4400000,1158555.044183
4450000,1150420.126398
4500000,1129526.618264
4550000,1123732.763892
4600000,1141354.260434
4650000,1139986.252522
4700000,1124979.377636
4750000,1118169.737901
4800000,1094175.657875
4850000,1091242.490844
4900000,1110027.728917
4950000,1077160.208899
5000000,1092080.056643
5050000,1074231.014985
5100000,1080372.769148
5150000,1072361.293801
5200000,1055531.171354
5250000,1045176.999954
5300000,1038088.732115
5350000,1035995.635841
5400000,1043041.731570
5450000,1031269.668135
5500000,1043247.119135
5550000,1007055.154391
5600000,1024290.830334
5650000,1024997.312147
5700000,1011785.222912
5750000,993176.992639
5800000,990074.808269
5850000,977064.444045
5900000,982077.652644
5950000,970935.789375
6000000,965394.514709
6050000,965026.392998
6100000,959880.611585
6150000,946047.617776
6200000,949899.414147
6250000,941362.349569
6300000,931189.003254
6350000,946349.532859
6400000,925830.215980
6450000,923440.582210
6500000,919388.848268
6550000,910211.501821
6600000,920890.105509
6650000,901936.977398
6700000,895439.277740
6750000,896868.080291
6800000,892180.252767
6850000,887197.357438
6900000,888729.074212
6950000,874990.465013
7000000,897170.437459
7050000,883989.353947
7100000,886647.987425
7150000,867745.949652
7200000,858647.563227
7250000,865492.919453
7300000,849641.052824
7350000,843040.033764
7400000,857323.018992
7450000,849138.887801
7500000,841258.534026
7550000,835892.163908
7600000,848555.760555
7650000,827025.545304
7700000,820374.507958
7750000,821465.618283
7800000,819071.792173
7850000,815659.365673
7900000,817238.877241
7950000,809650.947255
8000000,817898.628709
8050000,823702.431041
8100000,814292.004897
8150000,804972.422934
8200000,794820.991008
8250000,809182.486107
8300000,798091.124889
8350000,788656.248281
8400000,790781.042187
8450000,788293.159882
8500000,773255.600659
8550000,800093.969607
8600000,779769.330513
8650000,778829.236511
8700000,763666.820586
8750000,772120.205165
8800000,766497.385281
8850000,754949.383810
8900000,752194.014861
8950000,754117.175236
9000000,735600.943668
9050000,741330.170220
9100000,749039.990745
9150000,748611.680713
9200000,736488.059213
9250000,723630.257588
9300000,721448.110789
9350000,730113.128775
9400000,725957.814895
9450000,704897.809768
9500000,702284.994843
9550000,707377.626067
9600000,712818.551535
9650000,714928.900873
9700000,709454.418097
9750000,707809.073907
9800000,698498.769181
9850000,691041.460250
9900000,704552.235660
9950000,700562.089990
10000000,682409.964975
10050000,696874.116190
10100000,696034.058804
10150000,698899.947509
10200000,702652.478154
10250000,693552.331866
10300000,687781.586502
10350000,675981.175270
10400000,676864.718750
10450000,682939.580397
10500000,663283.618508
10550000,659212.559157
10600000,664442.194535
10650000,681546.997449
10700000,680730.145987
10750000,671445.329078
10800000,661572.079618
10850000,659575.897935
10900000,670944.547354
10950000,640923.886336
11000000,640771.064113
11050000,647449.087907
11100000,647894.873176
11150000,631530.794141
11200000,632204.580405
11250000,633271.783283
11300000,618400.674173
11350000,630385.722075
11400000,632172.074295
11450000,631705.627382
11500000,645028.707638
11550000,647355.222413
11600000,627518.154767
11650000,629979.069147
