step,rg2
200,189.243583
400,207.600230
600,228.932670
800,241.735670
1000,249.926732
1200,258.181150
1400,264.133500
1600,270.197703
1800,276.246430
2000,282.653750
2200,288.850854
2400,291.126019
2600,297.633630
2800,300.557032
3000,308.168959
3200,310.042187
3400,311.132475
3600,313.860662
3800,314.380294
4000,319.617383
4200,320.412435
4400,320.859791
4600,325.807500
4800,331.745038
5000,337.878675
5200,338.599707
5400,338.023779
5600,335.947655
5800,337.553315
6000,338.087214
6200,341.126071
6400,340.628799
6600,345.368675
6800,345.183052
7000,348.071670
7200,346.465100
7400,345.995248
7600,347.768055
7800,349.105302
8000,349.632995
8200,349.962391
8400,353.488044
8600,352.425323
8800,357.573790
9000,359.007148
9200,360.122923
9400,361.019423
9600,356.992398
9800,358.696675
10000,358.800635
10200,358.586803
10400,360.595816
10600,357.413750
10800,357.072750
11000,356.722152
11200,362.018363
11400,364.988600
11600,368.340758
11800,370.826235
12000,366.550207
12200,367.764139
12400,368.921071
12600,366.375350
12800,365.425500
13000,365.666575
13200,372.445187
13400,372.754587
13600,373.527788
13800,370.302235
14000,376.075775
14200,376.705726
14400,376.252135
14600,374.258143
14800,379.000519
15000,376.510030
15200,379.989912
15400,383.105975
15600,386.745115
15800,389.707139
16000,392.870095
16200,392.591790
16400,388.808528
16600,388.035879
16800,386.135560
17000,386.097292
17200,385.436783
17400,384.193927
17600,386.207843
17800,385.908140
18000,390.535992
18200,387.984304
18400,389.327560
18600,392.427111
18800,390.702380
19000,387.220704
19200,386.230859
19400,390.406607
19600,394.184654
19800,396.754435
20000,392.363774
20200,395.955004
20400,394.353862
20600,399.348719
20800,399.902255
21000,397.682395
21200,399.366924
21400,404.577744
21600,406.820783
21800,409.643564
22000,409.254750
22200,412.872604
22400,412.782988
22600,411.741747
22800,413.578476
23000,417.623750
23200,418.818027
23400,421.781471
23600,427.078606
23800,423.991863
24000,424.645095
24200,427.956444
24400,426.373207
24600,424.779735
24800,428.392702
25000,426.382707
25200,423.712096
25400,426.336134
25600,427.463595
25800,430.591175
26000,431.286315
26200,430.673350
26400,429.842110
26600,429.767676
26800,429.423942
27000,433.667371
27200,433.610431
27400,430.073267
27600,433.632344
27800,435.017863
28000,431.854655
28200,431.136894
28400,432.243955
28600,432.495020
28800,436.926686
29000,440.630395
29200,435.423951
29400,437.603795
29600,438.351299
29800,439.336782
30000,439.328910
30200,442.589022
30400,439.152318
30600,435.638780
30800,444.316950
31000,441.040488
31200,439.563896
31400,442.529160
31600,446.800860
31800,449.705355
32000,447.205022
32200,447.134735
32400,448.681179
32600,449.525772
32800,444.933515
33000,446.812035
33200,449.574940
33400,454.340376
33600,452.779740
33800,459.176550
34000,460.679239
34200,454.806039
34400,452.899375
34600,453.568230
34800,456.544347
35000,456.908956
35200,461.506375
35400,463.482918
35600,458.568835
35800,461.517046
36000,462.034023
36200,459.988454
36400,455.363011
36600,452.852483
36800,455.323838
37000,458.122367
37200,459.129923
37400,456.339819
37600,457.974982
37800,455.678486
38000,458.777823
38200,462.152600
38400,459.778070
38600,459.873500
38800,456.809852
39000,455.271192
39200,454.585707
39400,457.105032
39600,461.621035
39800,456.926422
40000,460.200235
40200,458.836211
40400,461.184751
40600,466.651195
40800,470.644583
41000,467.739099
41200,473.911814
41400,478.847824
41600,482.057235
41800,484.576067
42000,482.752358
42200,485.613131
42400,486.007015
42600,488.138855
42800,481.849175
43000,482.234584
43200,482.484483
43400,482.123196
43600,482.337902
43800,481.111335
44000,479.636430
44200,479.660540
44400,479.473740
44600,484.427470
44800,481.372140
45000,480.060604
45200,486.420400
45400,489.581219
45600,491.549470
45800,495.995055
46000,493.493484
46200,489.669647
46400,492.296267
46600,488.461915
46800,488.265355
47000,492.774670
47200,490.566419
47400,491.326768
47600,489.137400
47800,490.106103
48000,497.072374
48200,496.356147
48400,495.606222
48600,498.224815
48800,499.661299
49000,501.909955
49200,496.849766
49400,497.867048
49600,503.448795
